id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,popularity,popularity2,trending_speed,weights,district_name,nearest_airport,nearest_metro_station,nearest_train_station,nearest_beach
1917227528,,"Аибгинский переулок, 6","Сочи, Россия",43.67284,40.20136,0,0.0,0,0,40025,HOTEL,11,[],,24481,0,0.0,0.31824237,Неизвестный район,32559.0,,,1523.0
1917227529,,"Апрельская улица, 31","Сочи, Россия",43.405464,39.9835,0,0.0,0,0,29195,HOTEL,3,[],,24480,0,0.0,0.31824237,Сочи - Адлерский район,5914.0,,,1453.0
1917229337,,"Общинная улица, 52","Сочи, Россия",43.397724,39.97355,0,0.0,0,0,29221,HOTEL,10,[],,24479,0,0.0,0.31824237,Сочи - Адлерский район,6258.0,,,282.0
1917223875,,"Заповедная улица, 78/1","Сочи, Россия",43.68706,40.200962,0,0.0,0,0,40403,HOTEL,5,[],,24478,0,0.0,0.31824237,Неизвестный район,33763.0,,,1481.0
1917221506,,"Андреевская улица, 20","Сочи, Россия",43.876286,39.398,0,0.0,0,0,41468,HOTEL,4,[],,24477,0,0.0,0.31824237,Сочи - Лазаревский район,64557.0,,,3516.0
1917232830,,"Ачишховский переулок, 9","Сочи, Россия",43.68746,40.198307,0,0.0,0,0,40210,HOTEL,8,[],,24476,0,0.0,0.31824237,Неизвестный район,33666.0,,,1691.0
1917227526,,"Аибгинский переулок, 6","Сочи, Россия",43.67284,40.20136,0,0.0,0,0,40025,HOTEL,8,[],,24475,0,0.0,0.31824237,Неизвестный район,32559.0,,,1523.0
1917226982,,"Чемитоквадже, Магистральная улица, 70","Сочи, Россия",43.8435,39.41238,0,0.0,0,0,37931,HOTEL,4,[],,24474,0,0.0,0.31824237,Сочи - Лазаревский район,61120.0,,,
1917230863,,"Камышовая улица, 12","Сочи, Россия",43.410084,39.959675,0,0.0,0,0,27454,HOTEL,12,[],,24473,0,0.0,0.31824237,Сочи - Адлерский район,4562.0,,,1195.0
1917226033,,"Цимлянская улица, 7/3","Сочи, Россия",43.391853,39.979595,0,0.0,0,0,30030,HOTEL,7,[],,24472,0,0.0,0.31824237,Сочи - Адлерский район,7057.0,,,99.0
1917230185,,"Дворцовая улица, 23А","Сочи, Россия",43.68765,40.201347,0,0.0,0,0,40451,HOTEL,11,[],,24471,0,0.0,0.31824237,Неизвестный район,33834.0,,,1487.0
1917225928,,"Веселая улица, 16/1","Сочи, Россия",43.408073,39.98282,0,0.0,0,0,28957,HOTEL,17,[],,24470,0,0.0,0.31824237,Сочи - Адлерский район,5647.0,,,1654.0
1917224852,,"Народная улица, 8","Сочи, Россия",43.3941,39.98049,0,0.0,0,0,29903,HOTEL,7,[],,24469,0,0.0,0.31824237,Сочи - Адлерский район,6867.0,,,337.0
1917234115,,"Штурманский переулок, 27","Сочи, Россия",43.798138,39.456524,0,0.0,0,0,31803,HOTEL,6,[],,24468,0,0.0,0.31824237,Неизвестный район,55045.0,,,
1917226329,,"Лебединая улица, 5","Сочи, Россия",43.41436,39.968292,0,0.0,0,0,27621,HOTEL,4,[],,24467,0,0.0,0.31824237,Сочи - Адлерский район,4418.0,,,1827.0
1917231984,,"Защитников Кавказа улица, 6","Сочи, Россия",43.67311,40.200283,0,0.0,0,0,39948,HOTEL,3,[],,24466,0,0.0,0.31824237,Неизвестный район,32527.0,,,1579.0
1917223968,,"Ольховая улица, 24Б","Сочи, Россия",43.869617,39.393723,0,0.0,0,0,41113,HOTEL,9,[],,24465,0,0.0,0.31824237,Сочи - Лазаревский район,64250.0,,,3591.0
1917224876,,"Народная улица, 8","Сочи, Россия",43.3941,39.98049,0,0.0,0,0,29903,HOTEL,4,[],,24464,0,0.0,0.31824237,Сочи - Адлерский район,6867.0,,,337.0
1917225986,,"Урицкого улица, 12","Сочи, Россия",43.39166,39.982533,0,0.0,0,0,30212,HOTEL,4,[],,24463,0,0.0,0.31824237,Сочи - Адлерский район,7184.0,,,232.0
1917225938,,"Центральная улица, 50/6","Сочи, Россия",43.80045,39.47027,0,0.0,0,0,31269,HOTEL,23,[],,24462,0,0.0,0.31824237,Сочи - Лазаревский район,54450.0,,,
1917233458,,"Листопадная улица, 53","Сочи, Россия",43.405014,39.98193,0,0.0,0,0,29137,HOTEL,16,[],,24461,0,0.0,0.31824237,Сочи - Адлерский район,5883.0,,,1335.0
