name,checkinTime,checkoutTime,amenityFeature,address_Locality,street_Address,latitude,longitude,Otello_starRating,Otello_ratingValue,Otello_ratingCount,Otello_bestRating,Otello_worstRating
Арарат Парк Хаятт Москва,15:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Бассейн', 'Можно с животными', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Мини-бар', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'SPA', 'Сауна', 'Бассейн с подогревом', 'Бассейн для взрослых', 'Крытый бассейн', 'Бассейн (можно с детьми)', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Подъёмник', 'Широкий лифт', 'Английский', 'Арабский', 'Китайский', 'Немецкий', 'Французский', 'Испанский', 'Итальянский', 'Японский']",Москва,"Неглинная улица, 4",55.760148,37.621637,5,4.4,67,5,1
Сочи Парк Отель,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Пляж', 'Можно с животными', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Фен', 'Халат', 'SPA', 'Сауна', 'Бассейн с подогревом', 'Бассейн для взрослых', 'Открытый бассейн', 'Бассейн (можно с детьми)', 'Детский уголок', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Английский']",пгт Сириус,"Континентальный проспект, 6/10",43.404814,39.975536,3,3.4,2276,5,1
Амстердам,14:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Телевизор', 'Холодильник', 'Фен', 'Утюг', 'Сауна', 'Круглосуточная стойка регистрации', 'Хранение багажа', 'Пандус']",Казань,"улица Тази Гиззата, 6/31",55.789672,49.107938,2,4.7,464,5,1
Mantera Resort&Congress,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Пляж', 'Тренажёрный зал', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Мини-бар', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'SPA', 'Сауна', 'Бассейн с подогревом', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн (можно с детьми)', 'Детский уголок', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Конференц-зал', 'Широкий лифт']",пгт Сириус,"Голубая, 1а",43.410643,39.937345,5,4.4,109,5,1
Стерх,15:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Тренажёрный зал', 'Завтрак', 'Телевизор', 'Чайник', 'Мини-бар', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Конференц-зал']",Якутск,"проспект Ленина, 8а",62.032602,129.742708,3,4.5,198,5,1
Богатырь,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Пляж', 'Тренажёрный зал', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Чайник', 'Сейф', 'Фен', 'Халат', 'Тапочки', 'SPA', 'Сауна', 'Бассейн с подогревом', 'Бассейн для взрослых', 'Открытый бассейн', 'Бассейн (можно с детьми)', 'Детский уголок', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Английский']",пгт Сириус,"Олимпийский проспект, 21",43.403813,39.963985,4,4.7,918,5,1
Альфа,14:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Можно с животными', 'Тренажёрный зал', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Сейф', 'Звукоизоляция', 'Фен', 'Халат', 'Тапочки', 'Сауна', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Английский', 'Китайский']",Москва,"Измайловское шоссе, 71 к А",55.789691,37.750218,4,4.5,2664,5,1
Crown Hotel St. Petersburg ,14:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Можно с животными', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'SPA', 'Сауна', 'Бассейн для взрослых', 'Крытый бассейн', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Подъёмник', 'Вызов персонала', 'Широкий лифт', 'Английский']",Санкт-Петербург,"Лиговский проспект, 61",59.927906,30.35762,4,4.7,518,5,1
Valo Business 4*,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Фен', 'Утюг', 'Тапочки', 'SPA', 'Сауна', 'Бассейн для взрослых', 'Крытый бассейн', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Конференц-зал']",Санкт-Петербург,"улица Салова, 61",59.885426,30.367681,4,4.8,317,5,1
Гранд Отель Поляна,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Чайник', 'Мини-бар', 'Сейф', 'Фен', 'Халат', 'Тапочки', 'SPA', 'Сауна', 'Бассейн с подогревом', 'Бассейн для взрослых', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн (можно с детьми)', 'Детский уголок', 'Комната для снаряжения', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Английский']",с. Эстосадок,"Ачипсинская, 16",43.690434,40.274951,5,4.3,302,5,1
Город Mira Family Resort&SPA Anapa Miracleon,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Пляж', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'SPA', 'Сауна', 'Бассейн с подогревом', 'Бассейн для взрослых', 'Крытый бассейн', 'Открытый бассейн', 'Бассейн (можно с детьми)', 'Детский уголок', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал']",Анапа,"Пионерский проспект, 253-1 ст1",44.983607,37.261299,5,4.8,2286,5,1
Мовенпик Красная Поляна,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Бассейн', 'Можно с животными', 'Тренажёрный зал', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Мини-бар', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'SPA', 'Сауна', 'Бассейн для взрослых', 'Детский уголок', 'Комната для снаряжения', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Коливинг', 'Банкетный зал', 'Конференц-зал', 'Английский']",с. Эстосадок,"Горная, 1",43.667675,40.260832,5,4.6,229,5,1
Кортъярд Марриотт Сочи Красная Поляна,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Можно с животными', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Холодильник', 'Чайник', 'Мини-бар', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Сауна', 'Детский уголок', 'Комната для снаряжения', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Английский']",с. Эстосадок,"Горная Карусель, 6",43.683109,40.266079,4,4.5,83,5,1
Soluxe Hotel Moscow,15:00:00,12:00:00,"['Wi-Fi', 'Парковка', 'Кондиционер в номерах', 'Можно с животными', 'Тренажёрный зал', 'Трансфер (платный)', 'Завтрак', 'Кафе, ресторан', 'Телевизор', 'Чайник', 'Мини-бар', 'Сейф', 'Звукоизоляция', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Круглосуточная стойка регистрации', 'Гараж', 'Прачечная', 'Сейф', 'Хранение багажа', 'Банкетный зал', 'Конференц-зал', 'Пандус', 'Вызов персонала', 'Широкий лифт', 'Английский', 'Китайский']",Москва,"улица Вильгельма Пика, 16",55.844597,37.634514,5,4.8,118,5,1
