id,name,address,location_id,latitude,longitude,stars,rating,reviews_count,min_price,distance_to_center,property_type,photos_count,amenities,badges,check_in,check_out,popularity,popularity2,trending_speed,pois_distances,weights,district_name,checkinTime,checkoutTime,amenityFeature,address_Locality,street_Address,latitude_y,longitude_y,Otello_starRating,Otello_ratingValue,Otello_ratingCount,Otello_bestRating,Otello_worstRating
22715259,отель граф толстой,"Набережная Pеки Фонтанки, д.52, Санкт-Петербург","Санкт-Петербург, Россия",59.92957,30.341711,3,8.2,315,25,2672,HOTEL,24,"1, 3, 4, 5, 6, 10, 14, 18",,,,68738,31,0.0,"airport: 13856, metro_station: 658, metro_station: 429, metro_station: 778, metro_station: 878, metro_station: 293, train_station: 3035, train_station: 1074, train_station: 3452, beach: 2470",1.9256331,Санкт-Петербург - Центральный район,,,,,,,,,,,,
20140539,звездный отель wellness & spa,улица Гагарина 5,"Сочи, Россия",43.59497,39.72034,4,8.6,1800,57,1076,HOTEL,24,"0, 1, 4, 5, 6, 8, 9, 10, 12, 14, 17, 18, 19, 20",shopping,,,68737,304,1.17,"airport: 24101, ski_lift: 3314, beach: 831, beach: 1240, beach: 3065, sight: 845, train_station: 757, beach: 2076, beach: 1832",1.8762484,Сочи - Центральный район,,,,,,,,,,,,
48080029,отель на турбинной,"Улица Турбинная, 23 корп 1","Санкт-Петербург, Россия",59.89208,30.26953,3,8.7,0,30,6970,HOTEL,24,"4, 5, 6, 10, 12, 17, 18",,,,68736,46,0.0,"airport: 9804, metro_station: 1446, metro_station: 2369, metro_station: 1049, metro_station: 2702, metro_station: 2801, train_station: 2341",1.9620843,Санкт-Петербург - Московский район,,,,,,,,,,,,
333434,ра на невском 44,Невский проспект 44,"Санкт-Петербург, Россия",59.93471,30.33299,3,8.3,767,26,1932,HOTEL,24,"1, 3, 4, 5, 6, 10, 12, 14, 18",sightseeing,,,68735,211,1.7,"airport: 14368, metro_station: 95, metro_station: 1108, metro_station: 340, metro_station: 1033, metro_station: 997, train_station: 2682, train_station: 1671, train_station: 3610, beach: 1729",1.9602728,Санкт-Петербург - Центральный район,,,,,,,,,,,,
333399,трезини арт-отель,Большой Проспект Васильевского острова 21,"Санкт-Петербург, Россия",59.94003,30.2838,3,9.0,274,58,2146,HOTEL,24,"0, 1, 3, 5, 6, 10, 12, 14, 18","comfort, quiet, friendly, transport",,,68732,23,0.0,"airport: 14956, metro_station: 1360, metro_station: 2445, metro_station: 413, metro_station: 1810, metro_station: 2391, train_station: 4389, train_station: 4461, train_station: 3763, beach: 4760, beach: 1797",1.8931602,Санкт-Петербург - Центральный район,,,,,,,,,,,,
48101098,отель kravt sadovaya,"ул. Садовая, д. 25","Санкт-Петербург, Россия",59.929813,30.323566,3,8.8,2138,39,2281,HOTEL,24,"0, 1, 3, 4, 5, 6, 10, 11, 12, 14, 18",,,,68730,223,0.01,"airport: 13784, metro_station: 729, metro_station: 478, metro_station: 415, metro_station: 360, metro_station: 653, train_station: 3417, train_station: 2085, train_station: 2875, beach: 2058",1.9585592,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1863385759,бутик-отель веллион бауманский,Волховский переулок 23 /3 строение 2,"Москва, Россия",55.76983,37.68578,3,9.0,0,50,4721,HOTEL,24,"1, 4, 5, 6, 10, 18",,,,68729,200,0.0,"airport: 30861, airport: 41723, airport: 27558, metro_station: 2124, metro_station: 1933, metro_station: 1661, metro_station: 1827, metro_station: 509, train_station: 2006, train_station: 1870, train_station: 2215, train_station: 1984, train_station: 2038, airport: 36290",1.9513574,Москва - Центральный округ,,,,,,,,,,,,
1883009323,отель the red,"2-ая Совесткая улица, дом 18","Санкт-Петербург, Россия",59.93061,30.372658,3,9.0,0,54,3802,HOTEL,24,"0, 1, 4, 5, 6, 10, 12, 18",,,,68728,84,0.0,"airport: 14305, metro_station: 1018, metro_station: 1408, metro_station: 978, metro_station: 993, metro_station: 681, train_station: 2963, train_station: 666, train_station: 4867, beach: 3640",1.9580946,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1898741121,отель фарфалле,"Улица Большая Семёновская, 43/2","Москва, Россия",55.78173,37.71277,3,9.1,0,54,6832,HOTEL,24,"0, 5, 6, 10, 12, 14",,,,68727,44,0.0,"airport: 33006, airport: 42478, airport: 27617, metro_station: 1611, metro_station: 469, metro_station: 446, metro_station: 2228, metro_station: 2350, train_station: 3618, train_station: 3457, train_station: 3855, train_station: 3322, train_station: 3699, airport: 35828",1.9580375,Москва - Центральный округ,,,,,,,,,,,,
8185933,отель невский ряд - невский 100,Невский проспект 100,"Санкт-Петербург, Россия",59.93188,30.35549,3,8.7,0,21,2963,HOTEL,24,"1, 4, 6, 10, 11, 12",,,,68726,128,0.0,"airport: 14233, metro_station: 1232, metro_station: 638, metro_station: 53, metro_station: 285, metro_station: 660, train_station: 2672, train_station: 418, train_station: 4185, beach: 2786",1.946685,Санкт-Петербург - Центральный район,,,,,,,,,,,,
48043968,мини-отель классики,Улица Чехова 2,"Санкт-Петербург, Россия",59.93637,30.35238,3,9.0,0,22,2508,HOTEL,24,"5, 6, 10, 12, 14, 18",,,,68725,147,0.0,"airport: 14694, metro_station: 1017, metro_station: 571, metro_station: 991, metro_station: 706, metro_station: 972, train_station: 2182, train_station: 919, train_station: 4411, beach: 2344",1.9574363,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1898505677,докландс апарт-отель,Набережная Макарова 60,"Санкт-Петербург, Россия",59.95751,30.24208,4,9.0,0,40,4250,APARTHOTEL,24,"0, 1, 3, 4, 5, 6, 9, 10, 12, 14, 17, 18, 20",,,,68723,137,0.0,"airport: 17238, metro_station: 2780, metro_station: 1852, metro_station: 2615, metro_station: 1088, metro_station: 2808, beach: 2380, beach: 4040",1.9568063,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1900640749,бутик отель гранд петроградский,Татарский переулок 1,"Санкт-Петербург, Россия",59.95321,30.30542,3,8.1,0,31,723,HOTEL,24,"0, 1, 4, 5, 6, 10, 11, 16, 18, 21",,,,68721,79,0.0,"airport: 16360, metro_station: 835, metro_station: 1504, metro_station: 814, metro_station: 1923, metro_station: 1154, train_station: 2830, train_station: 4079, beach: 700",1.7328303,Санкт-Петербург - Центральный район,,,,,,,,,,,,
714710,мини-отель на лебедева 10в,улица Академика Лебедева 10В,"Санкт-Петербург, Россия",59.96112,30.35433,4,8.4,759,28,2442,HOTEL,24,"1, 3, 4, 5, 10, 11, 12, 17, 18",transport,,,68720,186,0.11,"airport: 17429, metro_station: 2454, metro_station: 1156, metro_station: 620, metro_station: 1881, metro_station: 2050, train_station: 585, train_station: 3556, beach: 2500",1.9483548,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1708689012,адажио на исаакиевской площади,улица Большая Морская 34,"Санкт-Петербург, Россия",59.93333,30.31205,3,9.0,0,33,1875,HOTEL,24,"5, 10, 14",,,,68719,76,0.0,"airport: 14150, metro_station: 843, metro_station: 867, metro_station: 848, metro_station: 867, metro_station: 333, train_station: 3505, train_station: 2762, train_station: 3010, beach: 1608",1.955701,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1910446515,калейдоскоп центральный,"Невский пр-т, 108, Санкт-Петербург, Санкт-Петербург","Санкт-Петербург, Россия",59.93177,30.35743,3,9.6,0,47,3052,HOTEL,24,"4, 6, 10, 12, 14, 18",,,,68717,32,0.0,"airport: 14242, metro_station: 703, metro_station: 131, metro_station: 176, metro_station: 741, metro_station: 1232, train_station: 2686, train_station: 337, train_station: 4259, beach: 2876",1.9418799,Санкт-Петербург - Центральный район,14:00:00,12:00:00,"['Wi-Fi', 'Кондиционер в номерах', 'Трансфер (платный)', 'Завтрак', 'Телевизор', 'Холодильник', 'Чайник', 'Сейф', 'Фен', 'Халат', 'Утюг', 'Тапочки', 'Круглосуточная стойка регистрации', 'Прачечная', 'Сейф', 'Хранение багажа', 'Английский']",Санкт-Петербург,"Невский проспект, 108",59.93167,30.357385,3.0,4.9,289.0,5.0,1.0
714719,отель велес,Заставская Улица 19,"Санкт-Петербург, Россия",59.888844,30.322826,3,8.5,965,33,6822,HOTEL,24,"0, 1, 4, 5, 6, 10, 11, 12, 18",comfort,,,68714,190,1.67,"airport: 9238, metro_station: 2117, metro_station: 2413, metro_station: 1106, metro_station: 400, metro_station: 1949, train_station: 4976, train_station: 2420",1.9533746,Санкт-Петербург - Московский район,,,,,,,,,,,,
276251,отель максима панорама,Улица Мастеркова 4,"Москва, Россия",55.7087,37.65686,4,8.4,1505,39,5421,HOTEL,24,"0, 1, 4, 5, 6, 10, 12, 14, 17, 18","economy, metro, transport, city",,,68712,377,0.13,"airport: 25716, airport: 36090, airport: 32337, metro_station: 2575, metro_station: 1826, metro_station: 229, metro_station: 2145, metro_station: 1600, ski_lift: 4593, ski_lift: 4451, ski_lift: 4282, ski_lift: 4699, airport: 34177",1.9515346,Москва - Центральный округ,,,,,,,,,,,,
714461,отель эпиграф,"ул. Короленко, 14","Санкт-Петербург, Россия",59.94237,30.350191,3,8.5,0,18,2057,HOTEL,24,"4, 6, 11, 12, 14, 18",lgbt_friendly,,,68711,133,0.0,"airport: 15333, metro_station: 1311, metro_station: 1248, metro_station: 1502, metro_station: 591, metro_station: 1338, train_station: 1539, train_station: 1571, train_station: 4852, beach: 1931",1.9513757,Санкт-Петербург - Центральный район,,,,,,,,,,,,
22715260,хеппи инн на софийской,"Софийская Улица, 24","Санкт-Петербург, Россия",59.87582,30.40166,3,8.3,0,27,9534,HOTEL,24,"1, 4, 5, 6, 10, 14, 18",,,,68710,100,0.0,"airport: 9345, metro_station: 3308, metro_station: 2246, metro_station: 1390, metro_station: 2022, metro_station: 2623",1.8944383,Санкт-Петербург - Московский район,,,,,,,,,,,,
714403,отель обухофф,Улица Смоляная 1,"Санкт-Петербург, Россия",59.91152,30.40608,3,8.4,821,27,6586,HOTEL,24,"0, 1, 4, 5, 6, 10, 12, 14, 18",,,,68709,271,0.86,"airport: 12932, metro_station: 1813, metro_station: 1959, metro_station: 2969, metro_station: 1832, metro_station: 1926, train_station: 3198",1.9435948,Санкт-Петербург - Центральный район,,,,,,,,,,,,
1902755066,бутик-отель underwood art room,"улица Рубинштейна, д.23, Санкт-Петербург","Санкт-Петербург, Россия",59.9278,30.342762,4,9.7,0,62,2871,HOTEL,24,"1, 4, 6, 10, 11, 12, 14, 18",,,,68707,11,0.0,"airport: 13670, metro_station: 847, metro_station: 303, metro_station: 800, metro_station: 730, metro_station: 196, train_station: 3211, train_station: 1028, train_station: 3355, beach: 2668",1.8561691,Санкт-Петербург - Центральный район,,,,,,,,,,,,
